log_id,target_file,issue_type,row_key,column,original_value,new_value,notes
DQ-000061,hcp.csv,taxonomy_code_format,hcp_id=1695082515,npi_taxonomy_code,207RX0202X,207R-X0202-X,dashes inserted; strip non-alphanumerics to join
DQ-000062,hcp.csv,taxonomy_code_format,hcp_id=1160652685,npi_taxonomy_code,207RE0101X,207R-E0101-X,dashes inserted; strip non-alphanumerics to join
DQ-000063,hcp.csv,taxonomy_code_format,hcp_id=1749355669,npi_taxonomy_code,2084N0400X,2084-N0400-X,dashes inserted; strip non-alphanumerics to join
DQ-000064,hcp.csv,taxonomy_code_format,hcp_id=1456207657,npi_taxonomy_code,207Q00000X,207Q-00000-X,dashes inserted; strip non-alphanumerics to join
DQ-000065,hcp.csv,taxonomy_code_format,hcp_id=1058613039,npi_taxonomy_code,207RP1001X,207R-P1001-X,dashes inserted; strip non-alphanumerics to join
DQ-000066,hcp.csv,taxonomy_code_format,hcp_id=1107378550,npi_taxonomy_code,207RC0000X,207R-C0000-X,dashes inserted; strip non-alphanumerics to join
DQ-000067,hcp.csv,taxonomy_code_format,hcp_id=1198262952,npi_taxonomy_code,207RP1001X,207R-P1001-X,dashes inserted; strip non-alphanumerics to join
DQ-000068,hcp.csv,taxonomy_code_format,hcp_id=1788421810,npi_taxonomy_code,2084N0400X,2084-N0400-X,dashes inserted; strip non-alphanumerics to join
DQ-000069,hcp.csv,taxonomy_code_format,hcp_id=1679256069,npi_taxonomy_code,207RX0202X,207R-X0202-X,dashes inserted; strip non-alphanumerics to join
DQ-000070,hcp.csv,taxonomy_code_format,hcp_id=1085110611,npi_taxonomy_code,2084N0400X,2084-N0400-X,dashes inserted; strip non-alphanumerics to join
DQ-000071,hcp.csv,taxonomy_code_format,hcp_id=1743431961,npi_taxonomy_code,207RC0000X,207R-C0000-X,dashes inserted; strip non-alphanumerics to join
DQ-000072,hcp.csv,taxonomy_code_format,hcp_id=1222151080,npi_taxonomy_code,207RR0500X,207R-R0500-X,dashes inserted; strip non-alphanumerics to join
DQ-000073,hcp.csv,taxonomy_code_format,hcp_id=1619471448,npi_taxonomy_code,207Q00000X,207Q-00000-X,dashes inserted; strip non-alphanumerics to join
DQ-000074,hcp.csv,taxonomy_code_format,hcp_id=1408782450,npi_taxonomy_code,207RC0000X,207R-C0000-X,dashes inserted; strip non-alphanumerics to join
DQ-000075,hcp.csv,taxonomy_code_format,hcp_id=1218757361,npi_taxonomy_code,207RX0202X,207R-X0202-X,dashes inserted; strip non-alphanumerics to join
DQ-000076,hcp.csv,taxonomy_code_format,hcp_id=1348428750,npi_taxonomy_code,207RR0500X,207R-R0500-X,dashes inserted; strip non-alphanumerics to join
DQ-000077,hcp.csv,taxonomy_code_format,hcp_id=1727524690,npi_taxonomy_code,207RP1001X,207R-P1001-X,dashes inserted; strip non-alphanumerics to join
DQ-000078,hcp.csv,taxonomy_code_format,hcp_id=1138208594,npi_taxonomy_code,207RC0000X,207R-C0000-X,dashes inserted; strip non-alphanumerics to join
DQ-000079,hcp.csv,taxonomy_code_format,hcp_id=1394700250,npi_taxonomy_code,207RP1001X,207R-P1001-X,dashes inserted; strip non-alphanumerics to join
DQ-000080,hcp.csv,taxonomy_code_format,hcp_id=1369949932,npi_taxonomy_code,207RC0000X,207R-C0000-X,dashes inserted; strip non-alphanumerics to join
DQ-000081,hcp.csv,taxonomy_code_format,hcp_id=1251567115,npi_taxonomy_code,207Q00000X,207Q-00000-X,dashes inserted; strip non-alphanumerics to join
DQ-000082,hcp.csv,taxonomy_code_format,hcp_id=1641859123,npi_taxonomy_code,207RR0500X,207R-R0500-X,dashes inserted; strip non-alphanumerics to join
DQ-000083,hcp.csv,taxonomy_code_format,hcp_id=1803461205,npi_taxonomy_code,207RX0202X,207R-X0202-X,dashes inserted; strip non-alphanumerics to join
DQ-000084,hcp.csv,taxonomy_code_format,hcp_id=1012264374,npi_taxonomy_code,207RE0101X,207R-E0101-X,dashes inserted; strip non-alphanumerics to join
DQ-000085,hcp.csv,duplicate_row_name_variant,hcp_id=1231453428,first_name|last_name,Amanda|Compton,amanda|COMPTON,extra row appended with same hcp_id; dedupe on hcp_id
DQ-000086,hcp.csv,duplicate_row_name_variant,hcp_id=1608203554,first_name|last_name,Julia|Mosley,julia|MOSLEY,extra row appended with same hcp_id; dedupe on hcp_id
DQ-000087,hcp.csv,duplicate_row_name_variant,hcp_id=1386832996,first_name|last_name,Caroline|Morales,Caroline |morales  ,extra row appended with same hcp_id; dedupe on hcp_id
DQ-000088,hcp.csv,duplicate_row_name_variant,hcp_id=1715729269,first_name|last_name,Laura|Bruce,Laura |bruce  ,extra row appended with same hcp_id; dedupe on hcp_id
DQ-000089,hcp.csv,duplicate_row_name_variant,hcp_id=1535436392,first_name|last_name,Alexander|Li,  ALEXANDER | Li  ,extra row appended with same hcp_id; dedupe on hcp_id
DQ-000090,hcp.csv,duplicate_row_name_variant,hcp_id=1547244776,first_name|last_name,Angel|Alvarez,  ANGEL | Alvarez  ,extra row appended with same hcp_id; dedupe on hcp_id
DQ-000091,hcp.csv,duplicate_row_name_variant,hcp_id=1847562299,first_name|last_name,Joe|Ingram,joe|INGRAM,extra row appended with same hcp_id; dedupe on hcp_id
DQ-000092,hcp.csv,duplicate_row_name_variant,hcp_id=1599978586,first_name|last_name,Nicole|Kelly,  NICOLE | Kelly  ,extra row appended with same hcp_id; dedupe on hcp_id
DQ-000093,hcp.csv,duplicate_row_name_variant,hcp_id=1268222167,first_name|last_name,Mark|Brewer,  MARK | Brewer  ,extra row appended with same hcp_id; dedupe on hcp_id
DQ-000094,hcp.csv,duplicate_row_name_variant,hcp_id=1095874958,first_name|last_name,Bethany|Li,Bethany |li  ,extra row appended with same hcp_id; dedupe on hcp_id
DQ-000095,hcp.csv,duplicate_row_name_variant,hcp_id=1163769114,first_name|last_name,Christopher|Cook,Christopher |cook  ,extra row appended with same hcp_id; dedupe on hcp_id
DQ-000096,hcp.csv,duplicate_row_name_variant,hcp_id=1327009084,first_name|last_name,Michele|Hansen,Michele |hansen  ,extra row appended with same hcp_id; dedupe on hcp_id
DQ-000097,events.csv,program_spend_zero,event_id=EVT-0034,program_spend,18330,0,set to 0 (invalid for ROI denominator)
DQ-000098,events.csv,program_spend_missing,event_id=EVT-0174,program_spend,11830,,set to NULL
DQ-000099,events.csv,program_spend_missing,event_id=EVT-0194,program_spend,5040,,set to NULL
DQ-000100,events.csv,program_spend_zero,event_id=EVT-0053,program_spend,14060,0,set to 0 (invalid for ROI denominator)
DQ-000101,attendance.csv,duplicate_attendance_record,attendance_id=ATT-DUP-00001,<row>,source attendance_id=ATT-003997,hcp_id=1423152481|event_id=EVT-0176,"same hcp_id+event_id, same attendance_date; dedupe on (hcp_id,event_id)"
DQ-000102,attendance.csv,duplicate_attendance_record,attendance_id=ATT-DUP-00002,<row>,source attendance_id=ATT-000725,hcp_id=1991291398|event_id=EVT-0033,"same hcp_id+event_id, same attendance_date; dedupe on (hcp_id,event_id)"
DQ-000103,attendance.csv,duplicate_attendance_record,attendance_id=ATT-DUP-00003,<row>,source attendance_id=ATT-000375,hcp_id=1361521440|event_id=EVT-0018,"same hcp_id+event_id, same attendance_date; dedupe on (hcp_id,event_id)"
DQ-000104,attendance.csv,duplicate_attendance_record,attendance_id=ATT-DUP-00004,<row>,source attendance_id=ATT-003912,hcp_id=1137408567|event_id=EVT-0174,"same hcp_id+event_id, same attendance_date; dedupe on (hcp_id,event_id)"
DQ-000105,attendance.csv,duplicate_attendance_record,attendance_id=ATT-DUP-00005,<row>,source attendance_id=ATT-001744,hcp_id=1523498065|event_id=EVT-0075,"same hcp_id+event_id, same attendance_date; dedupe on (hcp_id,event_id)"
DQ-000106,attendance.csv,duplicate_attendance_record,attendance_id=ATT-DUP-00006,<row>,source attendance_id=ATT-003335,hcp_id=1225504491|event_id=EVT-0152,"same hcp_id+event_id, same attendance_date; dedupe on (hcp_id,event_id)"
DQ-000107,attendance.csv,duplicate_attendance_record,attendance_id=ATT-DUP-00007,<row>,source attendance_id=ATT-004456,hcp_id=1758794279|event_id=EVT-0196,"same hcp_id+event_id, same attendance_date; dedupe on (hcp_id,event_id)"
DQ-000108,attendance.csv,duplicate_attendance_record,attendance_id=ATT-DUP-00008,<row>,source attendance_id=ATT-000250,hcp_id=1265952337|event_id=EVT-0014,"same hcp_id+event_id, same attendance_date; dedupe on (hcp_id,event_id)"
DQ-000109,attendance.csv,duplicate_attendance_record,attendance_id=ATT-DUP-00009,<row>,source attendance_id=ATT-001484,hcp_id=1180932224|event_id=EVT-0067,"same hcp_id+event_id, same attendance_date; dedupe on (hcp_id,event_id)"
DQ-000110,attendance.csv,duplicate_attendance_record,attendance_id=ATT-DUP-00010,<row>,source attendance_id=ATT-000372,hcp_id=1137408567|event_id=EVT-0018,"same hcp_id+event_id, same attendance_date; dedupe on (hcp_id,event_id)"
DQ-000111,attendance.csv,duplicate_attendance_record,attendance_id=ATT-DUP-00011,<row>,source attendance_id=ATT-003813,hcp_id=1133616429|event_id=EVT-0169,"same hcp_id+event_id, same attendance_date; dedupe on (hcp_id,event_id)"
DQ-000112,attendance.csv,duplicate_attendance_record,attendance_id=ATT-DUP-00012,<row>,source attendance_id=ATT-003561,hcp_id=1645233598|event_id=EVT-0160,"same hcp_id+event_id, same attendance_date; dedupe on (hcp_id,event_id)"
DQ-000113,attendance.csv,duplicate_attendance_record,attendance_id=ATT-DUP-00013,<row>,source attendance_id=ATT-004147,hcp_id=1240190284|event_id=EVT-0182,"same hcp_id+event_id, same attendance_date; dedupe on (hcp_id,event_id)"
DQ-000114,attendance.csv,duplicate_attendance_record,attendance_id=ATT-DUP-00014,<row>,source attendance_id=ATT-003745,hcp_id=1489598965|event_id=EVT-0167,"same hcp_id+event_id, same attendance_date; dedupe on (hcp_id,event_id)"
DQ-000115,attendance.csv,duplicate_attendance_record,attendance_id=ATT-DUP-00015,<row>,source attendance_id=ATT-003236,hcp_id=1526669415|event_id=EVT-0147,"same hcp_id+event_id, same attendance_date; dedupe on (hcp_id,event_id)"
DQ-000116,attendance.csv,duplicate_attendance_record,attendance_id=ATT-DUP-00016,<row>,source attendance_id=ATT-004168,hcp_id=1732000645|event_id=EVT-0182,"same hcp_id+event_id, same attendance_date; dedupe on (hcp_id,event_id)"
DQ-000117,attendance.csv,duplicate_attendance_record,attendance_id=ATT-DUP-00017,<row>,source attendance_id=ATT-004037,hcp_id=1425340662|event_id=EVT-0177,"same hcp_id+event_id, same attendance_date; dedupe on (hcp_id,event_id)"
DQ-000118,attendance.csv,duplicate_attendance_record,attendance_id=ATT-DUP-00018,<row>,source attendance_id=ATT-003879,hcp_id=1812815243|event_id=EVT-0172,"same hcp_id+event_id, same attendance_date; dedupe on (hcp_id,event_id)"
DQ-000119,attendance.csv,duplicate_attendance_record,attendance_id=ATT-DUP-00019,<row>,source attendance_id=ATT-001786,hcp_id=1327009084|event_id=EVT-0078,"same hcp_id+event_id, same attendance_date; dedupe on (hcp_id,event_id)"
DQ-000120,attendance.csv,duplicate_attendance_record,attendance_id=ATT-DUP-00020,<row>,source attendance_id=ATT-000575,hcp_id=1955620046|event_id=EVT-0026,"same hcp_id+event_id, same attendance_date; dedupe on (hcp_id,event_id)"
DQ-000121,attendance.csv,duplicate_attendance_record,attendance_id=ATT-DUP-00021,<row>,source attendance_id=ATT-002927,hcp_id=1509977165|event_id=EVT-0131,"same hcp_id+event_id, same attendance_date; dedupe on (hcp_id,event_id)"
DQ-000122,attendance.csv,duplicate_attendance_record,attendance_id=ATT-DUP-00022,<row>,source attendance_id=ATT-001131,hcp_id=1273912869|event_id=EVT-0050,"same hcp_id+event_id, same attendance_date; dedupe on (hcp_id,event_id)"
DQ-000123,attendance.csv,duplicate_attendance_record,attendance_id=ATT-DUP-00023,<row>,source attendance_id=ATT-001979,hcp_id=1595774286|event_id=EVT-0091,"same hcp_id+event_id, same attendance_date; dedupe on (hcp_id,event_id)"
DQ-000124,attendance.csv,duplicate_attendance_record,attendance_id=ATT-DUP-00024,<row>,source attendance_id=ATT-003105,hcp_id=1332369119|event_id=EVT-0142,"same hcp_id+event_id, same attendance_date; dedupe on (hcp_id,event_id)"
DQ-000125,attendance.csv,duplicate_attendance_record,attendance_id=ATT-DUP-00025,<row>,source attendance_id=ATT-001470,hcp_id=1428792083|event_id=EVT-0066,"same hcp_id+event_id, same attendance_date; dedupe on (hcp_id,event_id)"
DQ-000126,attendance.csv,duplicate_attendance_record,attendance_id=ATT-DUP-00026,<row>,source attendance_id=ATT-001133,hcp_id=1389574017|event_id=EVT-0050,"same hcp_id+event_id, same attendance_date; dedupe on (hcp_id,event_id)"
DQ-000127,attendance.csv,duplicate_attendance_record,attendance_id=ATT-DUP-00027,<row>,source attendance_id=ATT-000811,hcp_id=1456299035|event_id=EVT-0036,"same hcp_id+event_id, same attendance_date; dedupe on (hcp_id,event_id)"
DQ-000128,attendance.csv,duplicate_attendance_record,attendance_id=ATT-DUP-00028,<row>,source attendance_id=ATT-003060,hcp_id=1124726435|event_id=EVT-0140,"same hcp_id+event_id, same attendance_date; dedupe on (hcp_id,event_id)"
DQ-000129,attendance.csv,duplicate_attendance_record,attendance_id=ATT-DUP-00029,<row>,source attendance_id=ATT-003123,hcp_id=1094274762|event_id=EVT-0143,"same hcp_id+event_id, same attendance_date; dedupe on (hcp_id,event_id)"
DQ-000130,attendance.csv,duplicate_attendance_record,attendance_id=ATT-DUP-00030,<row>,source attendance_id=ATT-001919,hcp_id=1702497342|event_id=EVT-0086,"same hcp_id+event_id, same attendance_date; dedupe on (hcp_id,event_id)"
DQ-000131,attendance.csv,duplicate_attendance_record,attendance_id=ATT-DUP-00031,<row>,source attendance_id=ATT-001397,hcp_id=1712965692|event_id=EVT-0063,"same hcp_id+event_id, same attendance_date; dedupe on (hcp_id,event_id)"
DQ-000132,attendance.csv,duplicate_attendance_record,attendance_id=ATT-DUP-00032,<row>,source attendance_id=ATT-004222,hcp_id=1901019392|event_id=EVT-0185,"same hcp_id+event_id, same attendance_date; dedupe on (hcp_id,event_id)"
DQ-000133,attendance.csv,duplicate_attendance_record,attendance_id=ATT-DUP-00033,<row>,source attendance_id=ATT-003046,hcp_id=1663073843|event_id=EVT-0138,"same hcp_id+event_id, same attendance_date; dedupe on (hcp_id,event_id)"
DQ-000134,attendance.csv,duplicate_attendance_record,attendance_id=ATT-DUP-00034,<row>,source attendance_id=ATT-001269,hcp_id=1567742360|event_id=EVT-0057,"same hcp_id+event_id, same attendance_date; dedupe on (hcp_id,event_id)"
DQ-000135,attendance.csv,duplicate_attendance_record,attendance_id=ATT-DUP-00035,<row>,source attendance_id=ATT-002517,hcp_id=1025231352|event_id=EVT-0114,"same hcp_id+event_id, same attendance_date; dedupe on (hcp_id,event_id)"
DQ-000136,attendance.csv,duplicate_attendance_record,attendance_id=ATT-DUP-00036,<row>,source attendance_id=ATT-000407,hcp_id=1595301304|event_id=EVT-0019,"same hcp_id+event_id, same attendance_date; dedupe on (hcp_id,event_id)"
DQ-000137,attendance.csv,duplicate_attendance_record,attendance_id=ATT-DUP-00037,<row>,source attendance_id=ATT-002046,hcp_id=1862986803|event_id=EVT-0093,"same hcp_id+event_id, same attendance_date; dedupe on (hcp_id,event_id)"
DQ-000138,attendance.csv,duplicate_attendance_record,attendance_id=ATT-DUP-00038,<row>,source attendance_id=ATT-003737,hcp_id=1394609428|event_id=EVT-0167,"same hcp_id+event_id, same attendance_date; dedupe on (hcp_id,event_id)"
DQ-000139,attendance.csv,duplicate_attendance_record,attendance_id=ATT-DUP-00039,<row>,source attendance_id=ATT-001023,hcp_id=1180932224|event_id=EVT-0046,"same hcp_id+event_id, same attendance_date; dedupe on (hcp_id,event_id)"
DQ-000140,attendance.csv,duplicate_attendance_record,attendance_id=ATT-DUP-00040,<row>,source attendance_id=ATT-000681,hcp_id=1991291398|event_id=EVT-0031,"same hcp_id+event_id, same attendance_date; dedupe on (hcp_id,event_id)"
DQ-000141,attendance.csv,duplicate_attendance_record,attendance_id=ATT-DUP-00041,<row>,source attendance_id=ATT-000848,hcp_id=1893606271|event_id=EVT-0038,"same hcp_id+event_id, same attendance_date; dedupe on (hcp_id,event_id)"
DQ-000142,attendance.csv,duplicate_attendance_record,attendance_id=ATT-DUP-00042,<row>,source attendance_id=ATT-003729,hcp_id=1271768685|event_id=EVT-0167,"same hcp_id+event_id, same attendance_date; dedupe on (hcp_id,event_id)"
DQ-000143,attendance.csv,duplicate_attendance_record,attendance_id=ATT-DUP-00043,<row>,source attendance_id=ATT-003812,hcp_id=1044666919|event_id=EVT-0169,"same hcp_id+event_id, same attendance_date; dedupe on (hcp_id,event_id)"
DQ-000144,attendance.csv,duplicate_attendance_record,attendance_id=ATT-DUP-00044,<row>,source attendance_id=ATT-003245,hcp_id=1812815243|event_id=EVT-0147,"same hcp_id+event_id, same attendance_date; dedupe on (hcp_id,event_id)"
DQ-000145,attendance.csv,duplicate_attendance_record,attendance_id=ATT-DUP-00045,<row>,source attendance_id=ATT-003080,hcp_id=1896554999|event_id=EVT-0140,"same hcp_id+event_id, same attendance_date; dedupe on (hcp_id,event_id)"
DQ-000146,attendance.csv,duplicate_attendance_record,attendance_id=ATT-DUP-00046,<row>,source attendance_id=ATT-000606,hcp_id=1330156328|event_id=EVT-0029,"same hcp_id+event_id, same attendance_date; dedupe on (hcp_id,event_id)"
DQ-000147,attendance.csv,duplicate_attendance_record,attendance_id=ATT-DUP-00047,<row>,source attendance_id=ATT-002508,hcp_id=1710163217|event_id=EVT-0113,"same hcp_id+event_id, same attendance_date; dedupe on (hcp_id,event_id)"
DQ-000148,attendance.csv,duplicate_attendance_record,attendance_id=ATT-DUP-00048,<row>,source attendance_id=ATT-000264,hcp_id=1084919582|event_id=EVT-0015,"same hcp_id+event_id, same attendance_date; dedupe on (hcp_id,event_id)"
DQ-000149,attendance.csv,duplicate_attendance_record,attendance_id=ATT-DUP-00049,<row>,source attendance_id=ATT-001914,hcp_id=1590337907|event_id=EVT-0086,"same hcp_id+event_id, same attendance_date; dedupe on (hcp_id,event_id)"
DQ-000150,attendance.csv,duplicate_attendance_record,attendance_id=ATT-DUP-00050,<row>,source attendance_id=ATT-000114,hcp_id=1228081653|event_id=EVT-0008,"same hcp_id+event_id, same attendance_date; dedupe on (hcp_id,event_id)"
DQ-000151,attendance.csv,duplicate_attendance_record,attendance_id=ATT-DUP-00051,<row>,source attendance_id=ATT-003830,hcp_id=1616839134|event_id=EVT-0170,"same hcp_id+event_id, same attendance_date; dedupe on (hcp_id,event_id)"
DQ-000152,attendance.csv,duplicate_attendance_record,attendance_id=ATT-DUP-00052,<row>,source attendance_id=ATT-000447,hcp_id=1204261733|event_id=EVT-0021,"same hcp_id+event_id, same attendance_date; dedupe on (hcp_id,event_id)"
DQ-000153,attendance.csv,duplicate_attendance_record,attendance_id=ATT-DUP-00053,<row>,source attendance_id=ATT-000134,hcp_id=1296552940|event_id=EVT-0009,"same hcp_id+event_id, same attendance_date; dedupe on (hcp_id,event_id)"
DQ-000154,attendance.csv,duplicate_attendance_record,attendance_id=ATT-DUP-00054,<row>,source attendance_id=ATT-004494,hcp_id=1737256036|event_id=EVT-0198,"same hcp_id+event_id, same attendance_date; dedupe on (hcp_id,event_id)"
DQ-000155,attendance.csv,duplicate_attendance_record,attendance_id=ATT-DUP-00055,<row>,source attendance_id=ATT-001916,hcp_id=1644815767|event_id=EVT-0086,"same hcp_id+event_id, same attendance_date; dedupe on (hcp_id,event_id)"
DQ-000156,attendance.csv,duplicate_attendance_record,attendance_id=ATT-DUP-00056,<row>,source attendance_id=ATT-004054,hcp_id=1854852153|event_id=EVT-0177,"same hcp_id+event_id, same attendance_date; dedupe on (hcp_id,event_id)"
DQ-000157,attendance.csv,duplicate_attendance_record,attendance_id=ATT-DUP-00057,<row>,source attendance_id=ATT-000875,hcp_id=1703413967|event_id=EVT-0039,"same hcp_id+event_id, same attendance_date; dedupe on (hcp_id,event_id)"
DQ-000158,attendance.csv,duplicate_attendance_record,attendance_id=ATT-DUP-00058,<row>,source attendance_id=ATT-002239,hcp_id=1050506165|event_id=EVT-0102,"same hcp_id+event_id, same attendance_date; dedupe on (hcp_id,event_id)"
